experiment,config,weights,top_k_dense,top_k_bm25,question_id,category,question_type,expected_source_ids,retrieved_ids,recall@1,recall@3,recall@5,context_precision@5,mrr,ndcg@5
parameter_sensitivity,dense_heavy,"{""dense"": 0.7, ""bm25"": 0.3}",20,20,bdreg_q01_application_docs_progress,multi_intent,scenario,"birth_registration_application_process_cleaned_002_01,birth_registration_application_process_cleaned_016_01,birth_registration_application_process_cleaned_019_01,birth_registration_application_process_cleaned_020_01","birth_registration_application_process_cleaned_002_01,birth_registration_application_process_02_cleaned_010_01,birth_registration_application_process_cleaned_015_01,birth_registration_application_process_02_cleaned_013_01,birth_registration_application_process_cleaned_019_01",1.0,1.0,1.0,0.4,1.0,0.5413996682199069
parameter_sensitivity,balanced_current,"{""dense"": 0.55, ""bm25"": 0.45}",20,20,bdreg_q01_application_docs_progress,multi_intent,scenario,"birth_registration_application_process_cleaned_002_01,birth_registration_application_process_cleaned_016_01,birth_registration_application_process_cleaned_019_01,birth_registration_application_process_cleaned_020_01","birth_registration_application_process_cleaned_002_01,birth_registration_application_process_02_cleaned_010_01,birth_registration_application_process_cleaned_015_01,birth_registration_application_process_02_cleaned_013_01,birth_registration_application_process_cleaned_019_01",1.0,1.0,1.0,0.4,1.0,0.5413996682199069
parameter_sensitivity,bm25_heavy,"{""dense"": 0.4, ""bm25"": 0.6}",20,20,bdreg_q01_application_docs_progress,multi_intent,scenario,"birth_registration_application_process_cleaned_002_01,birth_registration_application_process_cleaned_016_01,birth_registration_application_process_cleaned_019_01,birth_registration_application_process_cleaned_020_01","birth_registration_application_process_cleaned_002_01,birth_registration_application_process_02_cleaned_013_01,birth_registration_application_process_cleaned_019_01,birth_registration_application_process_cleaned_006_01,birth_registration_application_process_cleaned_018_01",1.0,1.0,1.0,0.4,1.0,0.5855700749881525
parameter_sensitivity,small_topk,"{""dense"": 0.55, ""bm25"": 0.45}",10,10,bdreg_q01_application_docs_progress,multi_intent,scenario,"birth_registration_application_process_cleaned_002_01,birth_registration_application_process_cleaned_016_01,birth_registration_application_process_cleaned_019_01,birth_registration_application_process_cleaned_020_01","birth_registration_application_process_cleaned_002_01,birth_registration_application_process_02_cleaned_010_01,birth_registration_application_process_cleaned_018_01,bdris_faq_01_q09,birth_registration_application_process_02_cleaned_013_01",1.0,1.0,1.0,0.2,1.0,0.3903800499921017
parameter_sensitivity,large_topk,"{""dense"": 0.55, ""bm25"": 0.45}",30,30,bdreg_q01_application_docs_progress,multi_intent,scenario,"birth_registration_application_process_cleaned_002_01,birth_registration_application_process_cleaned_016_01,birth_registration_application_process_cleaned_019_01,birth_registration_application_process_cleaned_020_01","birth_registration_application_process_cleaned_002_01,birth_registration_application_process_02_cleaned_010_01,birth_registration_application_process_02_cleaned_013_01,birth_registration_application_process_cleaned_019_01,birth_registration_application_process_cleaned_006_01",1.0,1.0,1.0,0.4,1.0,0.5585075862632192
